Supercategory Name,Category Name,Number of Training Images,Number of Validation Images
kitchen,bowl,7111,314
sports,tennis racket,3394,167
indoor,clock,4659,204
accessory,suitcase,2402,105
electronic,tv,4561,207
sports,skis,3082,120
kitchen,wine glass,2533,110
electronic,remote,3076,145
food,banana,2243,103
electronic,laptop,3524,183
indoor,book,5332,230
accessory,tie,3810,145
sports,skateboard,3476,127
accessory,backpack,5528,228
kitchen,bottle,8501,379
kitchen,knife,4326,181
kitchen,fork,3555,155
sports,baseball bat,2506,97
food,sandwich,2365,98
sports,baseball glove,2629,100
