Supercategory Name,Category Name,Number of Training Images,Number of Validation Images
animal,bird,765,31
appliance,sink,196,9
indoor,teddy bear,234,15
appliance,refrigerator,110,4
animal,bear,557,24
animal,cow,211,10
indoor,scissors,162,6
vehicle,truck,245,7
indoor,vase,365,18
outdoor,bench,368,12
appliance,oven,111,2
animal,dog,303,11
animal,zebra,420,15
animal,cat,387,22
vehicle,motorcycle,192,7
animal,giraffe,742,26
indoor,clock,919,45
outdoor,fire hydrant,475,16
vehicle,train,1055,41
vehicle,airplane,1117,41
