Supercategory Name,Category Name,Number of Training Images,Number of Validation Images
animal,giraffe,742,26
food,banana,116,7
outdoor,bench,368,12
outdoor,fire hydrant,475,16
vehicle,airplane,1117,41
food,cake,109,5
vehicle,bus,163,9
outdoor,traffic light,203,11
indoor,scissors,162,6
food,pizza,299,16
indoor,vase,365,18
food,broccoli,118,6
vehicle,boat,159,8
indoor,clock,919,45
animal,cat,387,22
animal,dog,303,11
appliance,sink,196,9
indoor,teddy bear,234,15
animal,horse,269,15
vehicle,motorcycle,192,7
