Stage,Epoch,Mode,Time,Cross Entropy,Cluster,Separation,Avg Cluster,Accuracy,L1,P Avg Pair Dist
warm,1,train,2054.8210406303406,295.8353095994442,1.0,1.0,55.04105668063601,0.9979133249109259,3784.066162109375,0.12254074960947037
warm,1,validation,265.8351399898529,119.58781737014961,1.0,1.0,34.87741049295639,0.9478672985781991,3784.066162109375,0.12254074960947037
warm,2,train,2057.50581741333,73.96458874043283,1.0,1.0,30.074973884222185,0.9539086121481397,3874.400634765625,0.14912761747837067
warm,2,validation,265.96447110176086,29.17905689571903,1.0,1.0,21.129949482644744,0.9218983314938648,3874.400634765625,0.14912761747837067
warm,3,train,2056.393720149994,24.591593089047397,1.0,1.0,18.49001381117901,0.9539086121481397,3874.02587890625,0.18159189820289612
warm,3,validation,265.8688337802887,12.371818882795784,1.0,1.0,13.411656878301217,1.5776147503733038,3874.02587890625,0.18159189820289612
warm,4,train,2056.2203826904297,11.045394570474512,1.0,1.0,11.382679079144138,1.0092693798174515,3810.51171875,0.4473012685775757
warm,4,validation,265.7587912082672,7.955042131708866,1.0,1.0,7.951679792641604,1.6944751022528077,3810.51171875,0.4473012685775757
warm,5,train,2055.9345078468323,6.924746920692174,1.0,1.0,6.86096028497715,2.4514883529461864,3645.78955078125,0.6579753756523132
warm,5,validation,265.8179016113281,5.437974704251745,1.0,1.0,4.314186746154089,4.4277088878789845,3645.78955078125,0.6579753756523132
joint,1,train,3678.8131606578827,4.558404632203693,0.4517956648113292,0.3976812805882321,1.1241411337870884,5.804363564097832,3430.6513671875,0.40633276104927063
joint,1,validation,265.7174949645996,3.669004176167532,0.05812859059894975,0.0398639479064657,0.3808153553622392,10.322664416022853,3430.6513671875,0.40633276104927063
joint,2,train,3677.814352750778,3.5509723587321975,0.10711812116814731,0.08525310654013835,0.41628162434272176,12.859312674776783,2506.32958984375,0.36908605694770813
joint,2,validation,265.64871168136597,3.292838517066354,0.04943518312763871,0.03717128780604769,0.35629040114117855,18.704148542491723,2506.32958984375,0.36908605694770813
joint,3,train,3676.61967921257,3.445436288723612,0.06856450516997847,0.0529343638641863,0.31937979079857404,15.719619004357885,2164.03271484375,0.2987026274204254
joint,3,validation,265.6515896320343,3.2162216609939005,0.038235878954444434,0.026801696895424634,0.29336972744880374,19.26897357657599,2164.03271484375,0.2987026274204254
joint,4,train,3674.905054807663,3.2525401101341904,0.052972373561925176,0.040299351278905646,0.30258114613612924,18.960353173307592,2247.360595703125,0.30175110697746277
joint,4,validation,265.51739859580994,3.116475157223302,0.04643546010819708,0.03397599495251767,0.310929436530315,22.008699603973252,2247.360595703125,0.30175110697746277
joint,5,train,3673.8468384742737,3.2431175537698382,0.05219561766349219,0.03634330423567427,0.29432726238636836,20.87526793192045,2390.96728515625,0.30170390009880066
joint,5,validation,265.3314297199249,3.19008322721695,0.047476200634204005,0.028152773431135165,0.2725949699515129,19.879244303057845,2390.96728515625,0.30170390009880066
joint,6,train,3672.3222336769104,3.058165084655235,0.047426611130937026,0.03394185166322135,0.28475301897493305,23.287010092693798,2294.9833984375,0.30776241421699524
joint,6,validation,265.29691767692566,3.0141629628620703,0.04996497030234683,0.03508019215075678,0.3059819118734217,25.728754138804128,2294.9833984375,0.30776241421699524
joint,7,train,3671.946207523346,2.96508299568152,0.046196436516257114,0.03730735950405412,0.2932889274203918,24.956350163953044,2263.52587890625,0.30516597628593445
joint,7,validation,265.39342522621155,3.053619532664287,0.0500986902313732,0.042392251530036146,0.3280923582953536,26.228656755177564,2263.52587890625,0.30516597628593445
joint,8,train,3673.2984776496887,2.915449766220557,0.046305040622487,0.03960357654034469,0.29696365165017496,26.165770011498008,2212.838134765625,0.2983025014400482
joint,8,validation,265.4108200073242,3.1644592849050817,0.04851078196849937,0.0344546735441289,0.28410552148378737,24.008310069466987,2212.838134765625,0.2983025014400482
joint,9,train,3672.3946084976196,3.2700939080479143,0.05521121045420594,0.04276362904850783,0.2816655070374599,21.822079009752013,2123.932373046875,0.23825733363628387
joint,9,validation,265.28640818595886,3.0410626493548953,0.039935752393917424,0.03167553319445042,0.2667476782474775,24.865285983250015,2123.932373046875,0.23825733363628387
joint,10,train,3669.968647003174,2.9437220679641745,0.042506287649246806,0.038078920267772716,0.2837300614930087,26.37159850667878,2466.36376953125,0.33493226766586304
joint,10,validation,264.1014106273651,4.815516379858943,0.040432311273740286,0.011884989601432411,0.1884065863997115,0.9803285074336168,2466.36376953125,0.33493226766586304
joint,11,train,3670.198937892914,4.6727386268023245,0.01924358465438954,0.009161012392063083,0.08306578569939795,0.9979133249109259,1391.931640625,0.08383962512016296
joint,11,validation,263.85445165634155,4.64324227210397,0.007002747827306142,0.0013301291402054495,0.04451968961422374,0.7985457378432772,1391.931640625,0.08383962512016296
